Format=7,5610,,,Right Foot,,,,,,,,,,,5611,,,Left Foot,,,,,,,,,,,5617,,,Lumbar,,,,,,,,,,
Time,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,
,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z
1588061834593352,10.002548,-0.291131,-1.112721,0.016929,0.009948,0.026294,-32.199302,-13.058093,3.076266,4636847653760532500.000000,0.010448,0.744909,-0.028592,0.666472,10.054877,0.960224,-1.106713,0.010329,0.013522,0.008181,-30.677204,-13.651625,4.724265,4636847009515438100.000000,0.112818,0.737811,-0.042775,0.664137,0.352009,-0.036622,-9.911743,-0.000951,0.003204,0.001010,-17.537357,-19.710275,13.300720,4636846580018708500.000000,0.015672,0.273238,-0.961794,0.006909
1588061834601164,10.005387,-0.268563,-1.135288,0.012905,0.005751,0.025636,-32.280065,-13.045172,3.038792,4636847653760532500.000000,0.010400,0.744887,-0.028586,0.666497,10.050717,0.960361,-1.106850,0.008533,0.015682,0.007477,-30.513532,-13.557993,4.789734,4636847009515438100.000000,0.112785,0.737784,-0.042754,0.664173,0.318727,-0.035955,-9.900204,0.000835,0.003263,0.000000,-17.465930,-19.629505,13.224426,4636846580018708500.000000,0.015668,0.273241,-0.961793,0.006915
1588061834608976,9.983815,-0.273246,-1.125923,0.007974,0.007638,0.025226,-32.264329,-12.939848,2.945828,4636847653760532500.000000,0.010367,0.744860,-0.028592,0.666528,10.054874,0.964385,-1.110874,0.008193,0.018522,0.008909,-30.433056,-13.583073,4.756472,4636847009515438100.000000,0.112750,0.737750,-0.042738,0.664218,0.341807,-0.025084,-9.899535,-0.003087,0.004214,0.000000,-17.631503,-19.624824,13.500719,4636846580018708500.000000,0.015672,0.273243,-0.961792,0.006907
1588061834616788,9.965923,-0.294815,-1.106192,0.005341,0.009613,0.025387,-32.077555,-13.005391,2.925926,4636847653760532500.000000,0.010341,0.744827,-0.028605,0.666564,10.050719,0.931659,-1.094511,0.009261,0.019943,0.009613,-30.539416,-13.676707,4.585180,4636847009515438100.000000,0.112711,0.737712,-0.042720,0.664268,0.340473,-0.035288,-9.887997,-0.001010,0.003204,0.000000,-17.696732,-19.530042,13.473169,4636846580018708500.000000,0.015669,0.273246,-0.961792,0.006906
1588061834624600,9.973449,-0.317392,-1.089304,0.006160,0.010433,0.025475,-31.995420,-13.110751,3.016055,4636847653760532500.000000,0.010313,0.744793,-0.028616,0.666602,10.038512,0.948279,-1.086459,0.011045,0.020295,0.008182,-30.640839,-13.766181,4.451291,4636847009515438100.000000,0.112670,0.737675,-0.042693,0.664318,0.318058,-0.012207,-9.888662,0.000058,0.003146,0.000000,-17.632150,-19.288362,13.185554,4636846580018708500.000000,0.015666,0.273249,-0.961791,0.006909
1588061834632412,9.964088,-0.317392,-1.078932,0.007068,0.011340,0.023499,-32.214946,-13.045230,3.076266,4636847653760532500.000000,0.010288,0.744756,-0.028619,0.666643,10.034486,0.931663,-1.086459,0.011034,0.020295,0.009624,-30.615915,-13.737102,4.419080,4636847009515438100.000000,0.112625,0.737637,-0.042671,0.664369,0.330264,-0.012207,-9.900868,0.001068,0.002194,0.000000,-17.725561,-19.309202,13.012174,4636846580018708500.000000,0.015657,0.273251,-0.961790,0.006915
1588061834640224,9.953713,-0.322072,-1.091138,0.009275,0.010272,0.023499,-32.410656,-12.907091,3.006073,4636847653760532500.000000,0.010256,0.744722,-0.028617,0.666682,10.042665,0.931914,-1.094638,0.010681,0.021011,0.008534,-30.640829,-13.766170,4.353645,4636847009515438100.000000,0.112584,0.737598,-0.042646,0.664421,0.340479,-0.013535,-9.912412,0.000952,0.003204,0.000058,-17.936251,-19.479441,13.219035,4636846591700272100.000000,0.015653,0.273254,-0.961790,0.006921
1588061834648036,9.965920,-0.315562,-1.089308,0.014295,0.010432,0.023499,-32.317073,-12.919904,2.855721,4636847653760532500.000000,0.010209,0.744688,-0.028602,0.666721,10.046693,0.939970,-1.090487,0.011397,0.020647,0.006761,-30.722249,-13.737113,4.386852,4636847009515438100.000000,0.112546,0.737560,-0.042615,0.664472,0.318055,-0.035297,-9.911749,-0.001126,0.003204,0.001010,-17.768297,-19.629505,13.403728,4636846794767073300.000000,0.015651,0.273253,-0.961790,0.006920
1588061834655848,9.978128,-0.288298,-1.074252,0.014135,0.011340,0.023499,-32.138430,-13.058056,2.832932,4636847653760532500.000000,0.010162,0.744652,-0.028587,0.666763,10.046693,0.948148,-1.086459,0.011034,0.021010,0.007124,-30.701381,-13.594424,4.484503,4636847009515438100.000000,0.112507,0.737521,-0.042585,0.664523,0.330925,-0.012870,-9.900204,-0.002194,0.003262,0.000058,-17.461224,-19.624868,13.398429,4636846794767073300.000000,0.015650,0.273255,-0.961789,0.006914
1588061834663660,9.985656,-0.285448,-1.069574,0.012408,0.011500,0.023909,-32.121330,-13.078005,2.925900,4636847653760532500.000000,0.010120,0.744615,-0.028577,0.666805,10.046693,0.944000,-1.086459,0.008535,0.022794,0.007477,-30.562721,-13.538011,4.582158,4636847009515438100.000000,0.112475,0.737477,-0.042562,0.664579,0.352693,-0.025737,-9.899543,-0.002915,0.004273,0.001010,-17.542038,-19.534798,13.300120,4636846783138993200.000000,0.015653,0.273254,-0.961790,0.006907
